Номенклатура;КодНоменклатуры;Склад;Количество;Сумма
Стеклоподъемник правый  К-700/701 700.67.08.390 стар. обр.;00000000216;Склад №2 Жабский В.;58;141347.82
Сухарь вилки груз, разд. вала КПП К-700/701 700.17.01.294-1;00000000223;Склад №2 Жабский В.;62;35756.56
Шестерня вала РПН К-700 нов.обр. (вал с фланцем) 701.16.02.022 Z34;00000000251;Склад №2 Жабский В.;16;177789.24
Шкив компрессора К-700А* (двиг-ль ЯМЗ-238);00000000257;Склад №2 Жабский В.;19;54354.69
Заклепка стальная 5*16 (сегмента ножа ) /Россия/;00000000354;Склад №2 Жабский В.;494.38;278918.74
Заклепка стальная 5*26 (пятка ножа) /Россия/;00000000355;Склад №2 Жабский В.;281;158703.88
Каталог К-700/701;00000000522;Склад №2 Жабский В.;4;9205.73
Тавотница прямая М10;00000000546;Склад №2 Жабский В.;1495;17099.81
Лапа культиватора ОП-8 /330мм/ (Рубцовск) ;00000000649;Склад №2 Жабский В.;177;340055.85
Автолампа приборная 12В 4Вт. ВА9S /61204/ (Маяк);00000000789;Склад №2 Жабский В.;180;4087.35
Включатель света задн. хода /1352.3768-02/;00000000794;Склад №2 Жабский В.;15;6594.64
Предохранитель плавкий в корпусе 6А;00000000809;Склад №2 Жабский В.;42;7314.51
Предохранитель плавкий в корпусе 10А;00000000810;Склад №2 Жабский В.;42;11748.79
Сигнал звуковой 12в. (аналог 20.3721-01);00000000817;Склад №2 Жабский В.;2;1891.85
Щетки стартера СТ-25 ЯМЗ с контактами (компл 8 шт.) ;00000000829;Склад №2 Жабский В.;79;202748.96
Кольца поршневые ЯМЗ 130,0 мм (ОАО Автодизель-ЯМЗ);00000000869;Склад №2 Жабский В.;170;472338.31
Поршнекомплект ЯМЗ-236 стар. обр. (Г+П+УК+ПК) (ОАО Автодизель-ЯМЗ);00000000905;Склад №2 Жабский В.;286;4598022.08
Поршнекомплект ЯМЗ-236 стар. обр. (Г+П+УК) (ОАО Автодизель-ЯМЗ);00000000907;Склад №2 Жабский В.;262;3499140.04
Поршнекомплект ЯМЗ-240БМ2 индив.ГБЦ (Г+П+УК+ПК) (ОАО Автодизель-ЯМЗ);00000000910;Склад №2 Жабский В.;145;2426673.51
Привод стартера СТ-25 ЯМЗ (модуль 4.25) 11 зуб. (ООО ПРАМО);00000000919;Склад №2 Жабский В.;7;63989.51
Якорь стартера СТ25 ЯМЗ (укороч.) (8.9490) (ООО ПРАМО);00000000995;Склад №2 Жабский В.;7;189716.47
Диск лущильника ЛДГ (Рубцовск);00000001100;Склад №2 Жабский В.;199;958502.39
Картер РПН К-700 700.16.02.011-2 (для ЯМЗ-238НБ/НД);00000001102;Склад №2 Жабский В.;5;640106.38
Металлоасбест;00000001110;Склад №2 Жабский В.;55;63797.51
Вал промежуточный КПП К-700/701 700А.17.01.103-1;00000001126;Склад №2 Жабский В.;6;229968.66
"Диск бороны БДТ-3-5-7 (Рубцовск) ""Ромашка""";00000001129;Склад №2 Жабский В.;140;1465535.31
Вал (ось) бороны БДТ 1,9м (длинный) Рубцовск;00000001131;Склад №2 Жабский В.;19;225516.35
Втулка подшипника бороны БДТ-3-5-7;00000001133;Склад №2 Жабский В.;72;87342.61
Корпус подшипника бороны БДТ-3-5-7 без крышки;00000001135;Склад №2 Жабский В.;9;27733.56
Упор выгнутый БДТ-3-5-7;00000001138;Склад №2 Жабский В.;123;150841.73
Упор выгнутый БДТ-3-5-7;00000001139;Склад №2 Жабский В.;103;141315.74
Стакан пружины барабана К-700/701 700.17.01.033;00000001159;Склад №2 Жабский В.;20;885.01
Пружина барабана К-700/701 700А.17.01.034-2;00000001160;Склад №2 Жабский В.;20;1161.36
Крышка корпуса подшипника 211 (ЛДГ);00000001167;Склад №2 Жабский В.;25;22179.68
Шпулька подшипника ЛДГ (длинная);00000001168;Склад №2 Жабский В.;52;71395.83
Зуб бороны зубовой 212мм. М16 (Рубцовск);00000001212;Склад №2 Жабский В.;12048;3048798.61
Муфта раздаточного вала КПП К-700/701;00000001235;Склад №2 Жабский В.;1;14366.21
Вал (ось) бороны БДТ 1,7м (короткий) Рубцовск;00000001237;Склад №2 Жабский В.;14;147469.94
Колесо лопастное насоса СЦЛ-10 (алюм.);00000001257;Склад №2 Жабский В.;13;73037.02
Корпус подшипника ЛДГ без крышки;00000001271;Склад №2 Жабский В.;14;41794.88
Прокладка сильфона центрального К-700А 700А.10.00.022;00000001292;Склад №2 Жабский В.;400;36705.78
Стакан РПН К-700/701 700А.16.02.057-1;00000001302;Склад №2 Жабский В.;24;98027.77
Рычаг навески левый К-700/701 700.46.28.047;00000001305;Склад №2 Жабский В.;1;18254.82
Полуось моста К-700/701 700А.23.00.012;00000001307;Склад №2 Жабский В.;19;131139.28
Паронит  1,0мм. ПОН-Б (1М.*1,5М.);00000001356;Склад №2 Жабский В.;100;199651.95
Паронит  0,6мм. ПОН-Б (1М.*1,5М.);00000001357;Склад №2 Жабский В.;41;44830.86
Прокладка бака радиатора  К-700/701 701.13.01.035 (паронит);00000001366;Склад №2 Жабский В.;131;55316.79
Вилка включения насоса КПП К-700/701 700А.17.01.360;00000001380;Склад №2 Жабский В.;8;22711.18
Лемех плужный литой (Рубцовск);00000001443;Склад №2 Жабский В.;890;2047495.93
Поршнекомплект ЯМЗ-238НБ (Г+П+УК+ПК) (ОАО Автодизель-ЯМЗ);00000001454;Склад №2 Жабский В.;142;2322853.93
Вилка привода управ. муфтами разд-ного вала КПП К-700/701 700.17.01.229-2;00000001459;Склад №2 Жабский В.;1;9295.33
Кольцо стопорное шест-ни 4 пер. ведущ. вала КПП К-700/701 1В180;00000001462;Склад №2 Жабский В.;46;28444.67
Обойма ведущего вала К-700/701;00000001463;Склад №2 Жабский В.;21;180490.98
Рычаг привода управ. муфтами разд-ного вала  КПП К-700/701 700.17.19.700-02;00000001466;Склад №2 Жабский В.;14;41672.91
Рычаг привода управ. муфтами разд-ного вала  КПП К-700/701 700.17.19.700-01;00000001467;Склад №2 Жабский В.;8;23856.01
Стеклоочиститель К-700/701 700.82.00.040;00000001468;Склад №2 Жабский В.;2;18840.46
Тяга привода управ. муфтами разд-ного вала  КПП К-700/701 700.17.19.400-1;00000001470;Склад №2 Жабский В.;8;20015.4
Шайба стопорная ведущ. вала КПП К-700/701 700.17.01.408;00000001473;Склад №2 Жабский В.;7;413.95
Барабан 4 перед. внутренний КПП К-700/701 700А.17.01.520;00000001486;Склад №2 Жабский В.;4;102931.2
Муфта вала привода редуктора  КПП К-700/701 700А.17.01.198-1;00000001506;Склад №2 Жабский В.;11;60717.69
Шестерня КПП К-700/701 700А.17.01.196-1;00000001511;Склад №2 Жабский В.;14;132068.44
Долото КПШ-9 (Рубцовск);00000001642;Склад №2 Жабский В.;900;461355.26
Лемех КПШ правый (Рубцовск);00000001644;Склад №2 Жабский В.;446;844048.62
Лемех КПШ левый (Рубцовск);00000001645;Склад №2 Жабский В.;450;851613.55
Фланец НШ-100 чугун (муфта угловая) К-700/701 700А.16.02.039 (Мелитополь);00000001657;Склад №2 Жабский В.;25;69130.36
Вал грузовой КПП К-700/701/744;00000001801;Склад №2 Жабский В.;1;20415.57
Вал верхних рычагов мех-ма навески К-700/701 700А.46.28.041;00000001805;Склад №2 Жабский В.;3;126690.22
Гидроаккумулятор КПП К-700/701 нов. обр. 700А.17.48.000;00000001813;Склад №2 Жабский В.;9;341409.23
Колодка тормозная верхняя К-700/701 700.23.00.060;00000001821;Склад №2 Жабский В.;13;264349.43
Шестерня (комплект) главной передачи моста К-700/701 700А.23.02.150R;00000001853;Склад №2 Жабский В.;60;5888965.16
Рукав датчика давления масла К-700А/701 700.38.00.090;00000001864;Склад №2 Жабский В.;10;19966.36
